"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,3/31/2019 0:00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1070.00,1070.00,0.00,1070.00,0.00,1070.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.00
5,3/31/2019 0:00:00,6,0.00,0.00,0.00,0.00,0.00,0.00,544943.00,544943.00,0.00,0.00,0.00,0.00,1893481.00,0.00,1893481.00,19155.00,19155.00,0.00,8908.00,0.00,8908.00,0.00,0.00,0.00,28063.00,28063.00,0.00,183386.00,0.00,183386.00,0.00,0.00,0.00,3295338.00,3295338.00,0.00,673528.00,0.00,673528.00,9.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,3.00,6.00,6.00,0.00,0.00,1.00,6.00,12.00,150.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,112.00
6,3/31/2019 0:00:00,7,0.00,0.00,0.00,0.00,0.00,0.00,889836.00,889836.00,0.00,0.00,0.00,0.00,20401196.00,0.00,20401196.00,0.00,0.00,0.00,281343.00,0.00,281343.00,0.00,0.00,0.00,822451.00,822451.00,0.00,21841.00,0.00,21841.00,3757532.00,0.00,3757532.00,25070405.00,25070405.00,0.00,0.00,0.00,0.00,9.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00,1.00,4.00,5.00,1.00,0.00,0.00,6.00,11.00,202.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,468.00
12,3/31/2019 0:00:00,11,0.00,0.00,0.00,0.00,0.00,0.00,348078.00,348078.00,0.00,0.00,0.00,0.00,3080073.00,0.00,3080073.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,363780.00,0.00,363780.00,180013.00,0.00,180013.00,4006242.00,4006242.00,0.00,34298.00,0.00,34298.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00
13,3/31/2019 0:00:00,12,0.00,0.00,0.00,0.00,0.00,0.00,16675010.00,16675010.00,0.00,1812825.00,1812825.00,0.00,29660955.00,0.00,29660955.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,12794025.00,0.00,12794025.00,61241161.00,61241161.00,0.00,298346.00,0.00,298346.00,4.00,3.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,3.00,3.00,6.00,1.00,0.00,0.00,0.00,1.00,7.00,808.00,496.00,0.00,0.00,0.00,0.00,0.00,0.00,1141.00
16,3/31/2019 0:00:00,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,398517.00,0.00,398517.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40661.00,0.00,40661.00,0.00,0.00,0.00,439178.00,439178.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,3/31/2019 0:00:00,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
22,3/31/2019 0:00:00,17,0.00,0.00,0.00,0.00,0.00,0.00,24987691.00,24987691.00,0.00,0.00,0.00,0.00,37546995.00,0.00,37546995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,391747.00,0.00,391747.00,32027.00,0.00,32027.00,63000941.00,63000941.00,0.00,42481.00,0.00,42481.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,1658.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00
26,3/31/2019 0:00:00,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,588000.00,588000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,588000.00,0.00,588000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00
28,3/31/2019 0:00:00,21,0.00,0.00,0.00,0.00,0.00,0.00,16597007.00,16597007.00,0.00,0.00,0.00,0.00,57901860.00,0.00,57901860.00,2347.00,2347.00,0.00,82431.00,0.00,82431.00,0.00,0.00,0.00,219265.00,219265.00,0.00,10695548.00,0.00,10695548.00,559187.00,0.00,559187.00,107817457.00,107817457.00,0.00,22063855.00,0.00,22063855.00,238.00,5.00,11.00,25.00,0.00,0.00,0.00,0.00,53.00,4.00,82.00,5.00,104.00,120.00,0.00,10.00,1.00,125.00,243.00,1764.00,1871.00,0.00,0.00,0.00,0.00,0.00,0.00,2805.00
