"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
1,9/30/2020 0:00:00,2,0,169135,79469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8456356,0,0,0,0,0,0,0,0,,0,9559400,0,0,0,0,0,0,0,0,0,0,0
6,9/30/2020 0:00:00,7,0,0,5540920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785912,5959509,5964553,249351,0,12959325,0,0,0,0,0,0,452931,-87798,0,0,0,0,0,0,0,-556,0,0,0,188727445,0,161900,0,0,0,0,16,161900,,0,204232645,0,0,0,0,0,0,0,0,0,0,0
12,9/30/2020 0:00:00,11,248000,320200,538743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,0,0,0,248000,222839,0,0,0,0,0,0,0,0,0,0,0,0,49456455,0,0,0,0,0,0,0,0,,0,51331153,0,0,0,0,0,0,0,0,0,0,0
13,9/30/2020 0:00:00,12,0,73956183,4111182,3831000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114641,1282169,0,0,0,1396810,0,0,0,0,0,0,1796888,29667,0,0,0,0,0,0,0,0,0,0,0,549538510,0,0,0,0,0,0,0,0,,0,600884524,0,0,0,0,0,0,0,0,0,0,0
16,9/30/2020 0:00:00,14,0,0,123434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8484393,0,0,0,0,0,0,0,0,,0,9784852,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2020 0:00:00,16,7256452,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6046452,475000,735000,0,0,7256452,0,0,0,0,0,0,0,0,0,0,0,21140,0,6875397,1,21140,21140,0,0,0,1,21140,,0,9711250,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2020 0:00:00,17,0,10338451,441294,299828,0,0,0,1823534,0,0,0,0,1823534,0,0,0,0,0,0,4547077,849487,5497163,2030246,0,12923973,0,0,0,0,0,0,0,335243,-66378,0,0,0,0,0,0,4642,0,0,0,231275491,0,0,0,0,0,0,0,0,,0,268275101,0,0,0,0,0,0,0,0,0,0,0
26,9/30/2020 0:00:00,19,0,0,317176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16006540,0,0,0,0,0,0,0,0,,0,17983701,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2020 0:00:00,21,0,25320576,6985021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8645637,0,0,8645637,0,0,0,0,0,0,1956330,190436,0,0,0,0,0,0,0,0,0,0,0,819126695,410,11597375,11597375,0,0,0,410,11597375,,0,878437902,0,0,0,0,0,0,0,0,0,0,0
42,9/30/2020 0:00:00,29,0,0,1266802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379757,0,0,0,0,0,0,0,0,0,0,0,0,95900464,0,0,0,0,0,0,0,0,,0,105462544,0,0,0,0,0,0,0,0,0,0,0
