"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
1,12/31/2021 0:00:00,2,0,0,100486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9584104,0,0,0,0,0,0,0,0,,0,10732756,0,0,0,0,0,0,0,0,0,0,0,91067,0,0,0,0,0,0,0,0,0
6,12/31/2021 0:00:00,7,0,0,4593172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268107,7375181,9562832,9026047,0,27232167,0,0,0,0,0,0,910606,-511689,0,0,0,0,0,0,0,0,0,0,0,225115815,6,319238,0,0,0,0,6,319238,,0,243317640,0,0,0,0,0,0,0,0,0,0,0,2849902,0,0,0,0,0,0,0,0,0
12,12/31/2021 0:00:00,11,3973950,411768,730570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,1243361,2482589,0,0,3973950,41954,0,0,0,0,0,0,0,0,0,0,0,0,57753083,0,0,0,0,0,0,0,0,,0,60299487,0,0,0,0,0,0,0,0,0,0,0,1106503,0,0,0,0,0,0,0,0,0
13,12/31/2021 0:00:00,12,0,91776588,3834250,1597320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26234,767880,0,0,0,794114,0,0,0,0,0,0,204839,12904,0,0,0,0,0,0,0,0,0,0,0,679256418,0,0,0,0,0,0,0,0,,0,742289927,0,0,0,0,0,0,0,0,0,0,0,7024483,0,0,0,0,0,0,0,0,0
16,12/31/2021 0:00:00,14,0,0,79692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9401080,0,0,0,0,0,0,0,0,,0,10657787,0,0,0,0,0,0,0,0,0,0,0,28734,0,0,0,0,0,0,0,0,0
19,12/31/2021 0:00:00,16,7058000,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4502000,1101000,1455000,0,0,7058000,0,0,0,0,0,0,0,0,0,0,0,0,0,7249088,0,0,0,0,0,0,0,0,,0,10053914,0,0,0,0,0,0,0,0,0,0,0,3090,0,0,0,0,0,0,0,0,0
22,12/31/2021 0:00:00,17,0,21985064,594825,30481,0,0,0,2262413,0,0,0,0,2262413,0,0,0,0,0,0,2980332,3434015,2845521,10711143,0,19971011,0,0,0,0,0,0,0,-2129,0,0,0,0,0,0,0,0,0,0,0,269961604,0,0,0,0,0,0,0,0,,0,309149255,0,0,0,0,0,0,0,0,0,0,0,1261521,0,328331,36647,0,0,0,0,0,0
26,12/31/2021 0:00:00,19,0,0,282814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17807008,0,0,0,0,0,0,0,0,,0,19734522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2021 0:00:00,21,0,25887323,7972265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364357,26219528,0,0,28583885,0,0,0,0,0,0,1875160,-430058,0,0,0,0,0,0,0,0,0,0,0,933189716,79,1945054,1945054,0,0,0,79,1945054,,0,1013892161,0,0,0,0,0,0,0,0,0,0,0,7158022,-15167,-49288,0,0,0,0,0,0,0
42,12/31/2021 0:00:00,29,0,0,1228337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443226,0,0,0,0,0,0,0,0,0,0,0,0,128919870,0,0,0,0,0,0,0,0,,0,140287945,0,0,0,0,0,0,0,0,0,0,0,845858,0,0,0,0,0,0,0,0,0
47,12/31/2021 0:00:00,30,0,0,299699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49691639,0,0,0,0,0,0,0,0,,0,55672114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2021 0:00:00,31,13152000,0,464777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249000,6361000,3043000,3499000,0,13152000,82951,0,0,0,0,0,0,0,0,0,0,0,0,51955025,0,0,0,0,0,0,0,0,,0,63799631,0,0,0,0,0,0,0,0,0,0,0,353332,0,0,0,2,301615,0,0,0,0
51,12/31/2021 0:00:00,32,238139793,573230436,23456255,30870310,0,0,0,0,0,0,0,5899987,5899987,0,0,0,0,0,0,102464691,1034185968,362901804,82099143,0,1581651606,157516335,69365176,10518207,740075,0,238139793,15005789,-27813185,0,0,0,0,0,0,0,0,0,0,0,5087234281,190,13136993,13136993,0,0,0,190,13136993,,0,5447073269,0,0,0,0,0,0,0,0,0,0,0,67994546,0,3399993,11281,0,0,0,0,0,0
53,12/31/2021 0:00:00,33,0,0,586401,0,0,0,0,1992424,0,0,0,0,1992424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84613,-7576,0,0,0,0,0,0,0,0,0,0,0,68005938,0,0,0,0,0,0,0,0,,0,71434318,0,0,0,0,0,0,0,0,0,0,0,914897,0,0,0,0,0,0,0,0,0
60,12/31/2021 0:00:00,35,29842781,68331897,1168736,1559508,0,0,0,0,0,0,0,561312,561312,0,0,0,0,0,0,0,2953381,22215826,9755680,0,34924887,0,12113924,17728857,0,0,29842781,1818900,-170328,0,0,0,0,0,0,0,0,0,0,0,392405522,0,0,0,0,0,0,0,0,,0,434020872,0,0,0,0,0,0,0,0,0,0,0,7038475,0,0,0,0,0,0,0,0,0
62,12/31/2021 0:00:00,36,0,0,296553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5587,0,0,0,0,0,0,0,0,0,0,0,0,29219727,0,0,0,0,0,0,0,0,,0,34343341,0,0,0,0,0,0,0,0,0,0,0,132989,0,0,0,0,0,0,0,0,0
75,12/31/2021 0:00:00,40,1182894,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,682894,0,1182894,0,0,0,0,0,0,0,0,0,0,0,0,0,1701596,0,0,0,0,0,0,0,0,,0,2292438,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0
77,12/31/2021 0:00:00,41,0,26603598,1676355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97615,2447709,16172841,5105658,0,23823823,0,0,0,0,0,0,0,-527404,0,0,0,0,0,0,0,0,0,0,0,205002141,1,12857,12857,0,0,0,1,12857,,0,217941705,0,0,0,0,0,0,0,0,0,0,0,2234530,0,0,0,0,0,0,0,0,0
79,12/31/2021 0:00:00,43,0,86959116,5730750,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27555108,40901516,43197926,75096260,19230018,205980828,0,0,0,0,0,0,551504,230212,0,0,0,0,0,0,0,0,0,0,0,787928506,3,879742,879742,0,0,0,3,879742,,0,861580397,0,0,0,0,0,0,0,0,0,0,0,5791490,0,0,-156,0,0,0,0,0,0
