"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,12/31/2021 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,2666,0,2666,0,2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
6,12/31/2021 0:00:00,7,0,0,0,0,0,0,940188,940188,0,0,0,0,30813452,0,30813452,0,0,0,0,0,0,0,0,0,0,0,0,22139,0,22139,4958375,0,4958375,36806369,36806369,0,72215,0,72215,8,2,0,3,0,0,1,2,1,0,2,2,4,3,0,0,0,6,10,204,151,0,0,0,0,0,0,537
12,12/31/2021 0:00:00,11,0,0,0,0,0,0,156535,156535,0,0,0,0,3262079,0,3262079,0,0,0,0,0,0,0,0,0,0,0,0,433308,0,433308,164588,0,164588,4049979,4049979,0,33469,0,33469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,49,0,0,0,0,0,0,23
13,12/31/2021 0:00:00,12,0,0,0,0,0,0,29852947,29852947,0,4764718,4764718,0,32279666,0,32279666,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,18581808,0,18581808,85743767,85743767,0,264628,0,264628,1,3,0,0,0,0,1,3,0,0,1,3,4,0,0,0,0,0,4,1173,767,0,0,0,0,0,0,1288
16,12/31/2021 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,449925,0,449925,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,40661,0,0,0,490586,490586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,0,0,0,0,0,0,0
19,12/31/2021 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,12/31/2021 0:00:00,17,0,0,0,0,0,0,46310311,46310311,0,0,0,0,40534708,0,40534708,0,0,0,0,0,0,0,0,0,0,0,0,483345,0,483345,56500,0,56500,87429028,87429028,0,44164,0,44164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2003,0,0,0,0,0,0,156
26,12/31/2021 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,685258,685258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685258,0,685258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,66
28,12/31/2021 0:00:00,21,0,0,0,0,0,0,36290018,36290018,0,0,0,0,0,0,0,190000,190000,0,100000,0,100000,0,0,0,16743595,16743595,0,10870320,0,10870320,519257,0,519257,73761386,73761386,0,26081791,0,26081791,223,7,3,15,0,0,0,0,76,7,109,7,157,96,0,4,0,114,230,2132,2380,11,0,0,0,0,0,2767
42,12/31/2021 0:00:00,29,0,0,0,0,0,0,13038409,13038409,0,0,0,0,10333136,0,10333136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24596737,24596737,0,1225192,0,1225192,4,0,0,0,0,0,0,0,0,0,3,0,3,1,0,3,0,1,4,200,498,2,0,0,0,0,0,68
