"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_606A","ACCT_606B","ACCT_607","ACCT_608","ACCT_609","ACCT_620","ACCT_621","ACCT_622","ACCT_623","ACCT_624","ACCT_625","ACCT_626","ACCT_627","ACCT_628","ACCT_630A","ACCT_630B1","ACCT_630B2","ACCT_640","ACCT_652C","ACCT_653A","ACCT_653B1","ACCT_653B2","ACCT_653C","ACCT_655C","ACCT_656A","ACCT_656B1","ACCT_656B2","ACCT_657A","ACCT_657B1","ACCT_657B2","ACCT_659","ACCT_660","ACCT_661","ACCT_670A","ACCT_670B","ACCT_672C","ACCT_698","ACCT_709","ACCT_725","ACCT_726","ACCT_731","ACCT_732","ACCT_733","ACCT_734","ACCT_735","ACCT_736","ACCT_737","ACCT_741C","ACCT_742C","ACCT_746C","ACCT_747A","ACCT_747B1","ACCT_747B2","ACCT_747C","ACCT_750C","ACCT_752","ACCT_753","ACCT_754","ACCT_756","ACCT_757","ACCT_758","ACCT_760A","ACCT_760B1","ACCT_760B2","ACCT_761A","ACCT_761B1","ACCT_761B2","ACCT_770","ACCT_772","ACCT_773","ACCT_774","ACCT_776","ACCT_777","ACCT_778","ACCT_780","ACCT_781","ACCT_795","ACCT_799","ACCT_811","ACCT_812","ACCT_813","ACCT_814","ACCT_815","ACCT_816","ACCT_817","ACCT_818","ACCT_820","ACCT_821","ACCT_850","ACCT_860A","ACCT_860B1","ACCT_860B2","ACCT_865","ACCT_880A","ACCT_880B1","ACCT_880B2","ACCT_900","ACCT_902A","ACCT_902B1","ACCT_902B2","ACCT_906B1","ACCT_906B2","ACCT_906C","ACCT_908B1","ACCT_908B2","ACCT_911A","ACCT_911B1","ACCT_911B2","ACCT_913","ACCT_914","ACCT_955","ACCT_956","ACCT_957","ACCT_958","ACCT_961","ACCT_962","ACCT_963","ACCT_964","ACCT_965","ACCT_966","ACCT_970","ACCT_971","ACCT_972","ACCT_974","ACCT_977","ACCT_978","ACCT_982","ACCT_983","ACCT_984","ACCT_985","ACCT_986","ACCT_987","ACCT_988","ACCT_990","ACCT_992","ACCT_993","ACCT_994","ACCT_995","ACCT_603","ACCT_743C","ACCT_744A","ACCT_744B1","ACCT_744B2","ACCT_744C","ACCT_085","ACCT_086","ACCT_087","ACCT_782","ACCT_783","ACCT_784","ACCT_796A","ACCT_796B","ACCT_796C","ACCT_796D","ACCT_796E","ACCT_797A","ACCT_797B","ACCT_797C","ACCT_797D","ACCT_797E","ACCT_799B","ACCT_799C","ACCT_799D","ACCT_840","ACCT_875","ACCT_877","ACCT_945","ACCT_801","ACCT_614","ACCT_615","ACCT_745A","ACCT_745B","ACCT_745C","ACCT_745D","ACCT_745E","ACCT_819","ACCT_867A","ACCT_867B1","ACCT_867B2","ACCT_867C","ACCT_925","ACCT_841","ACCT_465","ACCT_466","ACCT_767","ACCT_768","ACCT_918","ACCT_919","Acct_026A","Acct_026B","Acct_027A","Acct_027B","Acct_028A","Acct_028B","Acct_045A","Acct_045B","Acct_585","Acct_680","Acct_681","Acct_682","Acct_769","Acct_785","Acct_786","Acct_787","Acct_892","Acct_895","Acct_896","Acct_899","ACCT_020I","ACCT_021I","ACCT_022I","ACCT_023I","ACCT_041I","ACCT_550I","ACCT_551I","ACCT_981","ACCT_981A","ACCT_981B","ACCT_065A1","ACCT_065A2","ACCT_065A3","ACCT_065A4","ACCT_065B1","ACCT_065C1","ACCT_065D1","ACCT_065E1","ACCT_067A1","ACCT_067A2","ACCT_067B1","ACCT_067C1","ACCT_068A","ACCT_069A","ACCT_033A","ACCT_033B","ACCT_033C","ACCT_033D","ACCT_033E","ACCT_034A","ACCT_034B","ACCT_034C","ACCT_034D","ACCT_034E","ACCT_035A","ACCT_035B","ACCT_035C","ACCT_035D","ACCT_035E"
1,12/31/2021 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6997821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379789,0,0,0,0,0,2057862,0,0,0,0,0,0,0,321145,0,85,0,0,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,17,32020,0,750000,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9580534,0,0,0,0,0,0,0,0,0,0,5,8,2,0,10
6,12/31/2021 0:00:00,7,0,0,138,722,0,0,0,0,0,0,0,0,0,0,269256,0,0,0,0,0,0,0,0,0,0,0,0,142503293,0,0,0,0,0,0,0,346027,0,0,0,7537244,75368,0,0,0,0,858765,0,0,7432365,0,0,0,0,0,0,0,0,0,16861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235000,3725000,0,0,45192569,0,0,714047,559073,6648580,4501972,1112088,6683150,0,0,0,0,0,2362469,0,941,0,0,0,0,0,47951,0,40426,0,82,0,359,0,0,6,0,14,0,69,0,0,6253,5282,59,122020,0,249000,0,0,249000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7854216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30821,0,0,0,0,19,30821,0,145762,83112,74578,0,248000,21162698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147376,0,0,4264606,0,0,0,4117230,0,0,0,0,4264606,215903933,0,0,0,0,0,0,0,0,0,0,72,58,0,0,58
12,12/31/2021 0:00:00,11,0,0,0,192,0,0,0,0,0,0,0,0,0,0,2442185,0,0,0,0,0,0,0,0,0,0,0,0,24861518,0,0,0,0,0,0,0,2730000,0,0,0,1625472,9254,0,0,0,0,0,0,1493797,0,0,0,0,0,0,0,0,0,0,43637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14984012,0,0,292555,210235,1155450,1007029,258746,11286245,0,0,0,0,0,83567,0,269,0,0,0,0,0,23129,0,0,0,39,0,134,0,0,16,0,0,0,33,0,0,3024,4209,15,32021,0,3980000,0,0,11699000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10264804,0,0,0,0,0,0,3973797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16636,1,1058,0,0,17,17694,1,99228,75368,9489,0,497000,1493950,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772987,0,0,0,772987,0,0,0,0,772987,56807659,0,0,0,0,0,0,0,0,0,0,37,32,1,0,33
13,12/31/2021 0:00:00,12,0,0,9684,0,0,0,0,0,0,0,0,0,0,0,236762,0,0,0,0,0,0,0,0,0,0,0,0,204599147,0,0,0,0,0,0,0,100000,0,0,0,93277098,207940,0,123523,0,0,22523230,0,0,794114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96232,0,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,10500000,12000000,0,0,16041000,25438000,0,121577041,0,0,16356400,4590314,46796442,58911315,10284420,28143704,0,0,0,0,0,4024502,0,7072,0,0,0,0,0,96663,0,90654,0,0,0,1944,0,0,0,0,518,0,1069,0,0,5424,4319,75,92021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,15,29954,0,0,0,0,15,29954,20,71228,85681,10840,0,0,794114,0,0,0,1,0,100000,0,96232,0,96232,0,0,0,0,0,5477733,0,0,56671974,0,0,0,51194241,0,0,0,0,56671974,592820989,4,1,0,0,1,0,0,0,0,0,67,18,0,0,18
16,12/31/2021 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6071020,0,0,0,0,0,0,0,0,0,0,0,567678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094570,0,0,26487,0,263744,209263,0,0,0,0,0,0,0,494667,0,32,0,0,0,0,0,1660,0,10469,0,14,0,37,0,0,3,5,0,0,9,0,0,99,43,11,122021,0,1020000,0,0,4472633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,599,0,0,0,0,1,599,0,0,304,0,0,1845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9407623,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
19,12/31/2021 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987000,0,0,0,0,0,0,0,0,7242884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7058000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12278,0,27,0,0,0,0,0,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,4,62020,0,247218,0,0,247218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348857,0,0,0,0,0,0,7058000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700000,1700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,319,0,0,0,0,319,7242565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2021 0:00:00,17,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94381560,0,0,0,0,0,0,0,1992000,0,0,0,58094157,442399,0,420871,0,0,0,0,0,19971011,0,0,0,0,0,0,0,0,0,33293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34712030,0,0,4055554,1622801,15565423,13267791,3082652,86718348,0,0,0,0,0,319524,0,749,0,0,0,0,0,36251,0,16884,0,857,0,2069,0,0,231,0,284,0,549,0,0,8262,1381,41,92021,0,23356200,0,0,24850200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4975915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15424,1,7131,0,0,3,22555,0,148437,50312,99824,0,0,19971011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73193,0,0,19465532,0,0,0,19392339,0,0,0,0,19465532,248608183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26,12/31/2021 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,0,0,0,0,0,0,0,0,0,0,0,0,12494017,0,0,0,0,0,0,0,3776000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2825648,0,0,0,0,0,748778,0,0,0,0,0,0,0,326358,0,59,0,0,0,0,0,2123,0,10754,0,0,0,24,0,0,0,0,0,0,0,0,0,122,38,16,92020,0,3673000,0,0,8632000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2491464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10028,512,0,0,12408000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117613,0,0,0,1117613,0,0,0,0,1117613,16574911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,12/31/2021 0:00:00,21,0,0,0,45504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214085487,0,0,0,0,0,0,0,0,0,0,0,255165823,385143,0,10411237,0,0,32373766,0,0,12807930,0,0,0,0,0,0,287859,376059,293984,224170,0,91413,0,0,0,0,0,0,0,318023,0,396033,81223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44687963,0,0,0,0,0,226206844,0,0,5800183,3951857,39153774,18559615,6536170,254634477,0,0,0,0,0,13674431,0,1007,0,0,0,0,0,179457,0,1861748,0,1100,0,4680,0,0,269,0,410,0,1766,0,0,18,18328,10,62020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55768,98017,495228,0,0,12807930,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,877153,0,0,48364314,0,0,0,47487161,0,0,0,0,48364314,817504065,1,3,0,0,3,0,0,0,0,0,147,138,7,12,157
42,12/31/2021 0:00:00,29,0,0,0,6900,0,0,0,0,0,0,0,0,0,0,143772,0,0,0,0,0,0,0,0,0,0,0,0,76803610,0,0,0,0,0,0,0,1829000,0,0,0,11260445,26265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27799,0,205555,0,0,43709,0,0,0,0,0,0,0,0,0,0,0,99510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21950891,0,0,1250139,202836,5721691,3212398,220566,15297765,0,0,0,0,0,509242,0,1076,0,0,0,0,0,24998,0,42334,0,80,0,703,0,0,19,0,50,0,110,0,0,3405,911,12,92021,0,23671000,0,0,34771000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10518000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4181,1,4691,0,0,5,8872,11,47018,9398,26063,0,648000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048332,0,0,0,2048332,0,0,0,0,2048332,126139637,7,0,1,0,1,0,0,0,0,0,34,20,2,0,22
