"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
63639,3/31/2022 0:00:00,17872,0,2878163,3904475,3822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10160558,32486496,43952205,61472382,0,148071641,0,0,0,0,0,0,0,-9353911,0,0,0,0,0,0,0,0,0,0,0,442584303,1,17486,0,0,0,0,1,17486,,0,476015257,0,0,0,0,0,0,0,0,0,0,0,576328,0,0,-24223,0,0,0,0,0,0
63648,3/31/2022 0:00:00,17880,0,0,718519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10125,4356021,7936384,15933435,2187422,30423387,0,0,0,0,0,0,0,-2695388,0,0,0,0,0,0,0,0,0,0,0,139003354,0,0,0,227,1285667,1285667,0,0,,0,146417654,0,0,0,0,0,0,0,0,0,0,0,148219,0,0,0,0,0,856,804643,0,0
63663,3/31/2022 0:00:00,17895,0,272729,1190839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,3500000,0,3746312,12246312,0,0,0,0,0,0,0,0,0,0,0,0,0,73404691,0,0,0,0,0,0,0,0,,0,80901497,0,0,0,0,0,0,0,0,0,0,0,172134,0,0,0,0,0,0,0,0,0
63672,3/31/2022 0:00:00,17903,0,0,90274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22303407,0,0,0,0,0,0,0,0,,0,25739908,0,0,0,0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0
63676,3/31/2022 0:00:00,17907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240000,1984000,696000,0,0,3920000,0,0,0,0,0,0,0,0,0,0,0,0,0,8238350,0,0,0,0,0,0,0,0,,0,9852964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63679,3/31/2022 0:00:00,17910,0,0,738749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240000,2488000,498000,0,0,4226000,0,0,0,0,0,0,0,0,0,0,0,0,0,37421924,0,0,0,0,0,0,0,0,,0,42605779,0,0,0,0,0,0,0,0,0,0,0,65353,0,0,0,0,0,0,0,0,0
63704,3/31/2022 0:00:00,17934,0,0,428972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32437238,3,252,0,0,0,0,3,252,,0,34597872,0,0,0,0,0,0,0,0,0,0,0,76584,0,0,0,0,0,0,0,0,0
63714,3/31/2022 0:00:00,17943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23436201,0,0,0,0,0,0,0,0,,0,26630652,0,0,0,0,0,0,0,0,0,0,0,20019,0,0,0,0,0,0,0,0,0
63715,3/31/2022 0:00:00,17944,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745000,1203000,2773000,595000,0,5316000,0,0,0,0,0,0,0,0,0,0,0,0,0,5882208,0,0,0,0,0,0,0,0,,0,6788140,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0
63716,3/31/2022 0:00:00,17945,0,0,5023937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6381030,32218769,29102067,33609038,0,101310904,0,0,0,0,0,0,0,-5271919,0,0,0,0,0,0,0,0,0,0,0,330199821,11,159257,151685,0,0,0,8,123874,,0,362287301,0,0,0,0,0,0,0,0,0,0,0,1134522,0,0,0,0,0,0,0,0,0
63757,3/31/2022 0:00:00,17985,0,69505948,3010460,1535850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361595042,1,30287,25744,0,0,0,0,0,,0,410012012,0,0,0,0,0,0,0,0,0,0,0,1538870,0,0,0,0,0,0,0,0,0
63783,3/31/2022 0:00:00,18011,0,0,1350664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494610,3639416,4723323,3865517,1951179,14674045,0,0,0,0,0,0,0,-893027,0,0,0,0,0,0,0,0,0,0,0,151835838,0,0,0,0,0,0,0,0,,0,172438942,0,0,0,0,0,0,0,0,0,0,0,254126,0,0,0,0,0,0,0,0,0
63789,3/31/2022 0:00:00,18017,0,47017008,5834722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,2996438,0,2996570,0,0,0,0,0,0,0,0,0,0,0,0,0,338914325,42,1792828,1792828,0,0,0,42,1792828,,0,374825337,0,0,0,0,0,0,0,0,0,0,0,34516,0,0,0,0,0,0,0,0,0
63791,3/31/2022 0:00:00,18019,0,0,714575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40435967,0,0,0,0,0,0,0,0,,0,43729966,0,0,0,0,0,0,0,0,0,0,0,13314,0,0,0,0,0,0,0,0,0
63793,3/31/2022 0:00:00,18021,0,0,34344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708140,0,0,0,0,0,0,0,0,,0,3100096,0,0,0,0,0,0,0,0,0,0,0,4739,0,0,0,0,0,0,0,0,0
