"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047"
1,3/31/2021 0:00:00,2,0,0,101948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8853403,0,0,0,0,0,0,0,0,,0,9962035,0,0,0,0,0,0,0,0,0,0,0,10630,0,0,0
6,3/31/2021 0:00:00,7,0,0,4385073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774679,6376657,7603796,3651872,0,18407004,0,0,0,0,0,0,407665,-119961,0,0,0,0,0,0,0,0,0,0,0,209010277,13,154140,0,0,0,0,13,154140,,0,224711943,0,0,0,0,0,0,0,0,0,0,0,520454,0,0,0
12,3/31/2021 0:00:00,11,248000,401298,765825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,0,0,0,248000,44992,0,0,0,0,0,0,0,0,0,0,0,0,61821140,0,0,0,0,0,0,0,0,,0,63808734,0,0,0,0,0,0,0,0,0,0,0,266951,0,0,0
13,3/31/2021 0:00:00,12,0,90423848,3908407,1767220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73673,1026675,0,0,0,1100348,0,0,0,0,0,0,232208,23369,0,0,0,0,0,0,0,0,0,0,0,601352427,0,0,0,0,0,0,0,0,,0,656537368,0,0,0,0,0,0,0,0,0,0,0,1739944,0,0,0
16,3/31/2021 0:00:00,14,0,0,75414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8683464,0,0,0,0,0,0,0,0,,0,9970126,0,0,0,0,0,0,0,0,0,0,0,6044,0,0,0
19,3/31/2021 0:00:00,16,7677709,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5874709,343000,1215000,245000,0,7677709,0,0,0,0,0,0,0,0,0,0,0,0,0,7850532,1,21140,21140,0,0,0,0,0,,0,10691625,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0
22,3/31/2021 0:00:00,17,0,30814540,816421,454589,0,0,0,2067894,0,0,0,0,2067894,0,0,0,0,0,0,3503249,1780601,3770345,1939187,0,10993382,0,0,0,0,0,0,0,192899,0,0,0,0,0,0,0,0,0,0,0,255699633,0,0,0,0,0,0,0,0,,0,293155246,0,0,0,0,0,0,0,0,0,0,0,259138,0,152491,0
26,3/31/2021 0:00:00,19,0,0,304062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18057077,0,0,0,0,0,0,0,0,,0,20036755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2021 0:00:00,21,0,90638555,7739458,0,0,0,0,25001513,2497773,0,0,0,27499286,0,0,0,0,0,0,0,0,7727444,4939850,0,12667294,0,0,0,0,0,0,1531291,39374,0,0,0,0,0,0,0,0,0,0,0,928791885,354,10222839,10222839,0,0,0,354,10222839,,0,994108251,0,0,0,0,0,0,0,0,0,0,0,1534918,0,-2548,0
42,3/31/2021 0:00:00,29,0,0,1106454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294111,0,0,0,0,0,0,0,0,0,0,0,0,107358978,0,0,0,0,0,0,0,0,,0,117189989,0,0,0,0,0,0,0,0,0,0,0,191683,0,0,0
