"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_606A","ACCT_606B","ACCT_607","ACCT_608","ACCT_609","ACCT_620","ACCT_621","ACCT_622","ACCT_623","ACCT_624","ACCT_625","ACCT_626","ACCT_627","ACCT_628","ACCT_630A","ACCT_630B1","ACCT_630B2","ACCT_640","ACCT_652C","ACCT_653A","ACCT_653B1","ACCT_653B2","ACCT_653C","ACCT_655C","ACCT_656A","ACCT_656B1","ACCT_656B2","ACCT_657A","ACCT_657B1","ACCT_657B2","ACCT_659","ACCT_660","ACCT_661","ACCT_670A","ACCT_670B","ACCT_672C","ACCT_698","ACCT_709","ACCT_725","ACCT_726","ACCT_731","ACCT_732","ACCT_733","ACCT_734","ACCT_735","ACCT_736","ACCT_737","ACCT_741C","ACCT_742C","ACCT_746C","ACCT_747A","ACCT_747B1","ACCT_747B2","ACCT_747C","ACCT_750C","ACCT_752","ACCT_753","ACCT_754","ACCT_756","ACCT_757","ACCT_758","ACCT_760A","ACCT_760B1","ACCT_760B2","ACCT_761A","ACCT_761B1","ACCT_761B2","ACCT_770","ACCT_772","ACCT_773","ACCT_774","ACCT_776","ACCT_777","ACCT_778","ACCT_780","ACCT_781","ACCT_795","ACCT_799","ACCT_811","ACCT_812","ACCT_813","ACCT_814","ACCT_815","ACCT_816","ACCT_817","ACCT_818","ACCT_820","ACCT_821","ACCT_850","ACCT_860A","ACCT_860B1","ACCT_860B2","ACCT_865","ACCT_880A","ACCT_880B1","ACCT_880B2","ACCT_900","ACCT_902A","ACCT_902B1","ACCT_902B2","ACCT_906B1","ACCT_906B2","ACCT_906C","ACCT_908B1","ACCT_908B2","ACCT_911A","ACCT_911B1","ACCT_911B2","ACCT_913","ACCT_914","ACCT_955","ACCT_956","ACCT_957","ACCT_958","ACCT_961","ACCT_962","ACCT_963","ACCT_964","ACCT_965","ACCT_966","ACCT_970","ACCT_971","ACCT_972","ACCT_974","ACCT_977","ACCT_978","ACCT_982","ACCT_983","ACCT_984","ACCT_985","ACCT_986","ACCT_987","ACCT_988","ACCT_990","ACCT_992","ACCT_993","ACCT_994","ACCT_995","ACCT_603","ACCT_743C","ACCT_744A","ACCT_744B1","ACCT_744B2","ACCT_744C","ACCT_085","ACCT_086","ACCT_087","ACCT_782","ACCT_783","ACCT_784","ACCT_796A","ACCT_796B","ACCT_796C","ACCT_796D","ACCT_796E","ACCT_797A","ACCT_797B","ACCT_797C","ACCT_797D","ACCT_797E","ACCT_799B","ACCT_799C","ACCT_799D","ACCT_840","ACCT_875","ACCT_877","ACCT_945","ACCT_801","ACCT_614","ACCT_615","ACCT_745A","ACCT_745B","ACCT_745C","ACCT_745D","ACCT_745E","ACCT_819","ACCT_867A","ACCT_867B1","ACCT_867B2","ACCT_867C","ACCT_925","ACCT_841","ACCT_465","ACCT_466","ACCT_767","ACCT_768","ACCT_918","ACCT_919","Acct_026A","Acct_026B","Acct_027A","Acct_027B","Acct_028A","Acct_028B","Acct_045A","Acct_045B","Acct_585","Acct_680","Acct_681","Acct_682","Acct_769","Acct_785","Acct_786","Acct_787","Acct_892","Acct_895","Acct_896","Acct_899","ACCT_020I","ACCT_021I","ACCT_022I","ACCT_023I","ACCT_041I","ACCT_550I","ACCT_551I","ACCT_981","ACCT_981A","ACCT_981B","ACCT_065A1","ACCT_065A2","ACCT_065A3","ACCT_065A4","ACCT_065B1","ACCT_065C1","ACCT_065D1","ACCT_065E1","ACCT_067A1","ACCT_067A2","ACCT_067B1","ACCT_067C1","ACCT_068A","ACCT_069A","ACCT_033A","ACCT_033B","ACCT_033C","ACCT_033D","ACCT_033E","ACCT_034A","ACCT_034B","ACCT_034C","ACCT_034D","ACCT_034E","ACCT_035A","ACCT_035B","ACCT_035C","ACCT_035D","ACCT_035E"
1,3/31/2021 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95551,0,0,0,0,0,0,0,0,0,0,0,0,6258150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570988,0,0,0,0,0,1778755,0,0,0,0,0,0,0,303988,0,85,0,0,0,0,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,18,32020,0,1000000,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8845928,0,0,0,0,0,0,0,0,0,0,3,5,1,0,6
6,3/31/2021 0:00:00,7,0,0,138,318,0,0,0,0,0,0,0,0,0,0,254315,0,0,0,0,0,0,0,0,0,0,0,0,125348354,0,0,0,0,0,0,0,595027,0,0,0,1886444,109694,0,0,0,0,459000,0,0,2825303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977000,1983000,0,42157504,0,0,511600,994106,6859143,3452885,2305950,6070795,0,0,0,0,0,2186463,0,880,0,0,0,0,0,46976,0,2358,0,97,0,367,0,0,2,0,7,0,19,0,0,5793,5266,56,92019,0,249000,0,0,249000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6757665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34529,0,0,0,0,7,34529,0,47428,21199,20300,0,248000,13127713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156853,0,0,4161287,0,0,0,4004434,0,0,0,0,4161287,199700252,0,0,0,0,0,0,0,0,0,0,52,32,5,2,39
12,3/31/2021 0:00:00,11,0,0,0,89,0,0,0,0,0,0,0,0,0,0,498654,0,0,0,0,0,0,0,0,0,0,0,0,29723346,0,0,0,0,0,0,0,996000,0,0,0,413000,11751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16907705,0,0,174381,271960,1094299,1000636,314598,10497793,0,0,0,0,0,58542,0,275,0,0,0,0,0,23475,0,0,0,29,0,123,0,0,1,0,0,0,4,0,0,3031,3869,12,32020,0,15438000,0,0,25145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10266443,0,0,0,0,0,0,248000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18364,0,0,0,0,13,18364,1,27885,28193,0,0,498000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424941,0,0,0,424941,0,0,0,0,424941,61232556,0,0,0,0,0,0,0,0,0,0,24,26,1,0,27
13,3/31/2021 0:00:00,12,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,224288,0,0,0,0,0,0,0,0,0,0,0,0,183682175,0,0,0,0,0,0,0,0,0,0,0,28397617,234754,0,183224,0,0,7412989,0,0,1100348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,8000000,10000000,0,15009000,16041000,0,0,112668632,0,0,8306190,11752326,42769530,37040386,26991295,24868088,0,0,0,0,0,3843648,0,6428,0,0,0,0,0,90268,0,57337,0,0,0,1798,0,0,0,0,231,0,417,0,0,5124,3834,76,92020,0,100000,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,8,28139,0,0,0,0,8,28139,20,14932,39878,0,0,0,1100348,0,0,0,1,0,379252,0,0,0,0,0,0,0,0,0,4729005,0,0,37928534,0,0,0,33199529,0,0,0,0,37928534,535403017,6,0,0,0,0,0,0,0,0,0,43,10,1,0,11
16,3/31/2021 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5793478,0,0,0,0,0,0,0,0,0,0,0,242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685524,0,0,1866,0,239662,78366,0,0,0,0,0,0,0,524617,0,33,0,0,0,0,0,1488,0,13579,0,16,0,40,0,0,0,1,0,0,2,0,0,107,54,14,122019,0,920000,0,0,3619934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,680934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8687100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,3/31/2021 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743000,0,0,0,0,0,0,0,0,7839875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7677709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14506,0,29,0,0,0,0,0,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,5,62020,0,494133,0,0,494133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345857,0,0,0,0,0,0,7677709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460000,1460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45223,0,0,0,45223,0,0,0,0,45223,7794652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2021 0:00:00,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87863273,0,0,0,0,0,0,0,1743000,0,0,0,9366282,386953,0,605351,0,0,0,0,0,10993382,0,0,0,0,0,0,0,0,0,99860,149178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32650575,0,0,3909114,1061101,16696852,10144143,2699365,70666489,0,0,0,0,0,593108,0,752,0,0,0,0,0,35690,0,217503,0,837,0,1874,0,0,32,0,62,0,99,0,0,8806,1611,57,92020,0,26842200,0,0,28336200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3322501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19972,3,38817,0,0,6,58789,0,32358,7661,48954,0,0,10993382,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92783,0,0,15702858,0,0,0,15610075,0,0,0,0,15702858,237964080,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
26,3/31/2021 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7058,0,0,0,0,0,0,0,0,0,0,0,0,11763676,0,0,0,0,0,0,0,4866000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658782,0,0,0,0,0,1358083,0,0,0,0,0,0,0,522067,0,56,0,0,0,0,0,2135,0,12544,0,0,0,25,0,0,0,0,0,0,0,0,0,174,33,16,92020,0,3776000,0,0,7549000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5774464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12415000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030880,0,0,0,1030880,0,0,0,0,1030880,16921955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2021 0:00:00,21,0,0,0,17406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205777901,0,0,0,0,0,0,0,0,0,0,0,65455945,483475,0,2404968,0,0,15061083,0,0,9359594,0,0,0,0,0,0,194022,0,125203,5019,107961,26331,0,0,0,0,0,0,0,0,0,114618,6050,18611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44449206,0,0,0,0,0,222495000,0,0,7719025,3900285,40086240,35182401,5867211,243290894,0,0,0,0,0,13522550,0,1219,0,0,0,0,0,175276,0,418859,0,1202,0,4380,0,0,63,0,84,0,456,0,0,18,18925,12,62020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7364727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42039,28751,150125,0,0,9359594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,828116,0,0,37413712,0,0,0,36585596,0,0,0,0,37413712,825191884,1,1,2,0,3,0,0,0,0,0,98,98,13,23,134
42,3/31/2021 0:00:00,29,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,106286,0,0,0,0,0,0,0,0,0,0,0,0,60117785,0,0,0,0,0,0,0,2718000,0,0,0,4416000,59653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205555,0,0,43709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19003260,0,0,1297231,139389,5338602,1825098,1325111,13997463,0,0,0,0,0,504505,0,1063,0,0,0,0,0,20751,0,16471,0,80,0,632,0,0,1,0,9,0,30,0,0,2780,803,14,92020,0,31549000,0,0,39181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20014,0,0,0,0,6,20014,14,11435,3090,6537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483521,0,0,0,2483521,0,0,0,0,2483521,104372932,0,0,0,0,0,0,0,0,0,0,9,8,1,0,9
