"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,3/31/2021 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,805,0,805,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
6,3/31/2021 0:00:00,7,0,0,0,0,0,0,1279478,1279478,0,0,0,0,28812158,0,28812158,0,0,0,0,0,0,0,0,0,0,0,0,21388,0,21388,4597938,0,4597938,34777006,34777006,0,66044,0,66044,4,2,0,1,0,0,0,2,1,0,1,2,3,2,0,0,0,3,6,191,173,0,0,0,0,0,0,513
12,3/31/2021 0:00:00,11,0,0,0,0,0,0,297068,297068,0,0,0,0,3528513,0,3528513,0,0,0,0,0,0,0,0,0,0,0,0,442491,0,442491,245000,0,245000,4551890,4551890,0,38818,0,38818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,39,0,0,0,0,0,0,45
13,3/31/2021 0:00:00,12,0,0,0,0,0,0,27183452,27183452,0,2459453,2459453,0,32025078,0,32025078,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,17302230,0,17302230,79359702,79359702,0,389489,0,389489,1,3,0,0,0,0,1,3,0,0,1,3,4,0,0,0,0,0,4,1083,711,0,0,0,0,0,0,1254
16,3/31/2021 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,429542,0,429542,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,40661,0,0,0,470203,470203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,0,0,0,0,0
19,3/31/2021 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,3/31/2021 0:00:00,17,0,0,0,0,0,0,34122442,34122442,0,0,0,0,39878613,0,39878613,0,0,0,0,0,0,0,0,0,0,0,0,448933,0,448933,45554,0,45554,74538451,74538451,0,42909,0,42909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1834,0,0,0,0,0,0,163
26,3/31/2021 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,405534,405534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405534,0,405534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,70
28,3/31/2021 0:00:00,21,0,0,0,0,0,0,31073663,31073663,0,0,0,0,0,0,0,251000,251000,0,109538,0,109538,0,0,0,4165529,4165529,0,11154253,0,11154253,589334,0,589334,68544640,68544640,0,25727390,0,25727390,221,5,5,14,0,0,0,0,69,5,102,5,143,100,0,9,0,118,226,1800,2426,11,0,0,0,0,0,2958
42,3/31/2021 0:00:00,29,0,0,0,0,0,0,10307583,10307583,0,0,0,0,8586564,0,8586564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19752516,19752516,0,858369,0,858369,5,0,0,0,0,0,3,0,0,0,3,0,3,2,0,0,0,2,5,193,434,2,0,0,0,0,0,63
