"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
1,6/30/2020 0:00:00,2,0,0,93408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8042638,0,0,0,0,0,0,0,0,,0,9098617,0,0,0,0,0,0,0,0,0,0,0
6,6/30/2020 0:00:00,7,0,0,6072615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793299,4048551,3953313,0,0,8795163,0,0,0,0,0,0,1082179,92869,0,0,0,0,0,0,0,0,0,0,0,185058862,0,0,0,0,0,0,7,82844,,0,200431071,0,0,0,0,0,0,0,0,0,0,0
12,6/30/2020 0:00:00,11,248000,267002,878612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,0,0,0,248000,212205,0,0,0,0,0,0,0,0,0,0,0,0,50547564,0,0,0,0,0,0,0,0,,0,52693697,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2020 0:00:00,12,0,90629575,4052533,3467000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169163,1399867,0,0,0,1569030,0,0,0,0,0,0,1033621,32054,0,0,0,0,0,0,0,0,0,0,0,549542266,0,0,0,0,0,0,0,0,,0,599298903,0,0,0,0,0,0,0,0,0,0,0
16,6/30/2020 0:00:00,14,0,0,152392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7894571,0,0,0,0,0,0,0,0,,0,9194441,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2020 0:00:00,16,6359536,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279000,1585536,495000,0,0,6359536,0,0,0,0,0,0,0,0,0,0,0,0,0,7031512,0,0,0,0,0,0,0,0,,0,9860020,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2020 0:00:00,17,0,21207210,631830,363118,0,0,0,1687820,0,0,0,0,1687820,0,0,0,0,0,0,5681921,2174562,4549296,2021294,0,14427073,0,0,0,0,0,0,0,333114,-201984,0,0,0,0,0,0,4642,0,0,0,229667388,0,0,0,0,0,0,0,0,,0,266394513,0,0,0,0,0,0,0,0,0,0,0
26,6/30/2020 0:00:00,19,0,0,230718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15507892,0,0,0,0,0,0,0,0,,0,17468681,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2020 0:00:00,21,0,0,10256366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9174915,0,0,9174915,0,0,0,0,0,0,3153672,129704,0,0,0,0,0,0,0,0,0,0,0,805537521,0,0,0,0,0,0,370,11079953,,0,861464335,0,0,0,0,0,0,0,0,0,0,0
42,6/30/2020 0:00:00,29,0,0,1678225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521293,0,0,0,0,0,0,0,0,0,0,0,0,95687002,0,0,0,0,0,0,0,0,,0,105038992,0,0,0,0,0,0,0,0,0,0,0
