"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,6/30/2021 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,1421,0,1421,0,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
6,6/30/2021 0:00:00,7,0,0,0,0,0,0,1127241,1127241,0,0,0,0,29590988,0,29590988,0,0,0,0,0,0,0,0,0,0,0,0,21023,0,21023,4738554,0,4738554,35535178,35535178,0,57372,0,57372,5,2,0,2,0,0,1,2,1,0,2,2,4,1,0,0,0,3,7,198,162,0,0,0,0,0,0,528
12,6/30/2021 0:00:00,11,0,0,0,0,0,0,260488,260488,0,0,0,0,3424076,0,3424076,0,0,0,0,0,0,0,0,0,0,0,0,439739,0,439739,210000,0,210000,4368501,4368501,0,34198,0,34198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,41,0,0,0,0,0,0,34
13,6/30/2021 0:00:00,12,0,0,0,0,0,0,27174822,27174822,0,2385326,2385326,0,32334851,0,32334851,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,17941479,0,17941479,80158250,80158250,0,321772,0,321772,1,3,0,0,0,0,1,3,0,0,1,3,4,0,0,0,0,0,4,1129,708,0,0,0,0,0,0,1315
16,6/30/2021 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,451191,0,451191,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,40661,0,0,0,491852,491852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,0,0,0,0,0,0,0
19,6/30/2021 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,6/30/2021 0:00:00,17,0,0,0,0,0,0,37146963,37146963,0,0,0,0,40449937,0,40449937,0,0,0,0,0,0,0,0,0,0,0,0,464546,0,464546,56500,0,56500,78161541,78161541,0,43595,0,43595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1898,0,0,0,0,0,0,166
26,6/30/2021 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,488800,488800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488800,0,488800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,68
28,6/30/2021 0:00:00,21,0,0,0,0,0,0,33087377,33087377,0,0,0,0,0,0,0,251000,251000,0,109057,0,109057,0,0,0,2175943,2175943,0,10965794,0,10965794,573914,0,573914,70298045,70298045,0,25670960,0,25670960,227,5,3,15,0,0,0,0,70,5,107,5,148,102,0,8,0,119,232,1937,2425,12,0,0,0,0,0,2881
42,6/30/2021 0:00:00,29,0,0,0,0,0,0,10680900,10680900,0,0,0,0,8779836,0,8779836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20325637,20325637,0,864901,0,864901,5,0,0,0,0,0,3,0,0,0,3,0,3,2,0,0,0,2,5,196,432,2,0,0,0,0,0,66
47,6/30/2021 0:00:00,30,0,0,0,0,0,0,2945570,2945570,0,0,0,0,2472937,0,2472937,0,0,0,0,0,0,0,0,0,0,0,0,264988,0,264988,0,0,0,5683495,5683495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,86,0,0,0,0,0,0,109
48,6/30/2021 0:00:00,31,0,0,0,0,0,0,41968,41968,0,0,0,0,1867059,0,1867059,0,0,0,0,0,0,0,0,0,0,0,0,184211,0,184211,245482,0,245482,2338720,2338720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,27,6,0,0,0,0,0,119
51,6/30/2021 0:00:00,32,0,0,0,0,0,0,166660530,166660530,0,0,0,0,344909338,0,344909338,60200,60200,0,3541755,0,3541755,0,0,0,22597976,22597976,0,54025329,0,54025329,32455882,0,32455882,808895194,808895194,0,210844115,0,210844115,207,11,2,5,0,0,45,1,61,5,153,11,164,47,0,44,4,107,218,10670,7033,7,0,0,0,0,0,4049
53,6/30/2021 0:00:00,33,0,0,0,0,0,0,2575653,2575653,0,0,0,0,6536460,0,6536460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10375438,10375438,0,1263325,0,1263325,0,15,0,0,0,0,0,0,0,13,0,15,15,0,0,0,2,0,15,83,102,0,0,0,0,0,0,18
60,6/30/2021 0:00:00,35,0,0,0,0,0,0,5631075,5631075,0,2383442,2383442,0,36504136,0,36504136,0,0,0,0,0,0,0,0,0,670152,670152,0,2582973,0,2582973,1831662,0,1831662,53732143,53732143,0,4798855,0,4798855,86,0,0,0,0,0,16,0,4,0,25,0,25,61,0,4,0,61,86,304,500,0,0,0,0,0,0,1326
62,6/30/2021 0:00:00,36,0,0,0,0,0,0,259916,259916,0,0,0,0,559172,0,559172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,0,75000,894088,894088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,9,0,0,0,0,0,0,0
75,6/30/2021 0:00:00,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6/30/2021 0:00:00,41,0,0,0,0,0,0,2364349,2364349,0,949507,949507,0,0,0,0,0,0,0,7932,0,7932,0,0,0,0,0,0,22708,0,22708,0,0,0,9792894,9792894,0,6456330,0,6456330,53,4,1,0,0,0,10,0,0,4,22,4,30,30,0,9,0,178,57,81,144,0,1,0,0,0,1,310
79,6/30/2021 0:00:00,43,0,0,0,0,0,0,30791576,30791576,0,927943,927943,0,34042981,0,34042981,0,0,0,2212548,0,2212548,0,0,0,8565685,8565685,0,85803,0,85803,4223109,0,4223109,79254399,79254399,0,9182987,0,9182987,203,0,22,85,0,0,52,0,19,0,76,0,76,20,0,3,0,127,203,1194,885,6,0,0,0,0,0,1487
82,6/30/2021 0:00:00,46,0,0,0,0,0,0,39218284,39218284,0,0,0,0,10278858,0,10278858,0,0,0,0,0,0,0,0,0,0,0,0,10609553,0,10609553,358234,9114571,9472805,74750805,65636234,9114571,5171305,0,5171305,23,4,0,0,0,0,4,0,12,4,23,4,27,0,0,7,0,0,27,627,750,0,0,0,0,0,0,76
90,6/30/2021 0:00:00,49,0,0,0,0,0,0,0,0,0,0,0,0,919000,0,919000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919000,919000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
98,6/30/2021 0:00:00,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,11
107,6/30/2021 0:00:00,57,0,0,0,0,0,0,280971,280971,0,0,0,0,4368886,0,4368886,0,0,0,0,0,0,0,0,0,0,0,0,180319,0,180319,0,0,0,5500676,5500676,0,670500,0,670500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,122,0,0,0,0,0,0,56
108,6/30/2021 0:00:00,58,0,0,0,0,0,0,0,0,0,0,0,0,201808,0,201808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27591,0,27591,229399,229399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,181
110,6/30/2021 0:00:00,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,11,0,0,11,0,0,11,53,2,0,0,0,0,0,0,15
112,6/30/2021 0:00:00,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,6/30/2021 0:00:00,62,0,0,0,0,0,0,0,0,0,0,0,0,692634,0,692634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692634,692634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,14
120,6/30/2021 0:00:00,63,0,0,0,0,0,0,8317235,8317235,0,0,0,0,3796559,0,3796559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13351036,13351036,0,1237242,0,1237242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,505,0,0,0,0,0,0,12
132,6/30/2021 0:00:00,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
