"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047"
856,6/30/2021 0:00:00,425,0,0,711882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,33650031,0,0,0,0,0,0,0,0,,0,37816206,0,0,0,0,0,0,0,0,0,0,0,157543,0,0,0
857,6/30/2021 0:00:00,426,0,85360066,6664238,6536545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84430290,25709728,59428611,69443841,9923235,248935705,0,0,0,0,0,0,34850660,-390156,0,0,0,0,0,0,0,0,0,0,0,3317552710,671,39187874,0,0,0,0,671,39187874,,0,3619052942,158748,3912,0,0,0,0,0,0,0,0,0,11618984,0,0,117836
858,6/30/2021 0:00:00,427,25818000,0,252895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7063000,18011000,744000,0,0,25818000,0,0,0,0,0,0,0,0,0,0,0,0,0,55973794,0,0,0,0,0,0,0,0,,0,60134997,0,0,0,0,0,0,0,0,0,0,0,47693,0,0,0
871,6/30/2021 0:00:00,432,0,21928342,2539573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,0,870,0,0,0,0,0,0,98121,11,0,0,0,0,0,0,0,0,0,0,0,56880951,0,0,0,0,0,0,0,0,,0,77522635,0,0,0,0,0,0,0,0,0,0,0,19964,0,0,0
872,6/30/2021 0:00:00,433,0,0,747911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5014872,0,5014872,0,0,0,0,0,0,11311,0,0,0,0,0,0,0,0,0,0,0,0,129923665,0,0,0,0,0,0,0,0,,0,143596530,0,0,0,0,0,0,0,0,0,0,0,310701,0,0,0
884,6/30/2021 0:00:00,441,6255000,0,53485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284000,4723000,248000,0,0,6255000,15848,0,0,0,0,0,0,0,0,0,0,0,0,14179343,0,0,0,0,0,0,0,0,,0,16643365,0,0,0,0,0,0,0,0,0,0,0,28028,0,0,0
887,6/30/2021 0:00:00,444,0,0,2189546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551594,0,0,0,0,0,0,0,0,0,0,0,0,165697853,0,0,0,0,0,0,0,0,,0,187746042,0,0,0,0,0,0,0,0,0,0,0,756340,0,0,0
888,6/30/2021 0:00:00,445,0,10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2772774,0,0,0,0,0,0,0,0,,0,3848442,0,0,0,0,0,0,0,0,0,0,0,8297,0,0,0
900,6/30/2021 0:00:00,451,6871035,0,50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698000,1074000,2220000,1090035,1789000,6871035,0,0,0,0,0,0,0,0,0,0,0,0,0,11774813,0,0,0,0,0,0,0,0,,0,13202769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,6/30/2021 0:00:00,454,0,0,55894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,11507698,0,0,0,0,0,0,0,0,,0,12359665,0,0,0,0,0,0,0,0,0,0,0,46087,0,0,0
909,6/30/2021 0:00:00,455,7028000,3000000,205652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2960000,2833000,1235000,0,0,7028000,0,0,0,0,0,0,0,0,0,0,0,0,0,45329497,0,0,0,0,0,0,0,0,,0,53282349,0,0,0,0,0,0,0,0,0,0,0,36046,0,0,0
911,6/30/2021 0:00:00,457,0,612146,1768778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002766,1000394,13056375,3439216,0,21498751,0,0,0,0,0,0,107280,-171536,0,0,0,0,0,0,0,0,0,0,0,146886931,76,4433591,4433591,0,0,0,76,4433591,,0,161643601,0,0,0,0,0,0,0,0,0,0,0,451237,0,0,0
916,6/30/2021 0:00:00,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70548,0,0,0,0,0,0,0,0,0,0,0,0,7260542,0,0,0,0,0,0,0,0,,0,8068345,0,0,0,0,0,0,0,0,0,0,0,4061,0,0,0
926,6/30/2021 0:00:00,465,0,286342,1463500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442674,472689,4993845,0,0,5909208,0,0,0,0,0,0,1700388,5691,0,0,0,0,0,0,0,0,0,0,0,122044926,769,14712899,14712899,0,0,0,769,14712899,,0,132250950,0,0,0,0,0,0,0,0,0,0,0,2158604,0,0,0
930,6/30/2021 0:00:00,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010556,0,0,0,0,0,0,0,0,,0,1202301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
932,6/30/2021 0:00:00,468,0,0,366630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27629115,0,0,0,0,0,0,0,0,,0,29576312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943,6/30/2021 0:00:00,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7109168,0,0,0,0,0,0,0,0,,0,8384322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,6/30/2021 0:00:00,475,6500000,0,1491860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,551,0,0,709,0,1000000,4500000,1000000,0,6500000,7328,-88,0,0,0,0,0,0,0,0,0,0,0,95581137,4,23721,23721,0,0,0,4,23721,,0,101112222,0,0,0,0,0,0,0,0,0,0,0,164511,0,0,0
948,6/30/2021 0:00:00,476,573708387,419739890,27716859,7029611,0,0,0,40553156,0,0,0,0,40553156,0,0,0,0,0,0,0,0,0,0,0,0,22955486,65219810,485533091,0,0,573708387,11386037,0,0,0,0,0,0,0,0,0,0,0,0,3210413256,744,41785497,41785497,23,2183576,545894,744,41785497,,0,3520617751,0,0,0,0,0,0,0,0,0,0,0,14319649,0,0,0
