"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,12/31/2020 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,332,0,332,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
6,12/31/2020 0:00:00,7,0,0,0,0,0,0,999512,999512,0,0,0,0,27558238,0,27558238,0,0,0,0,0,0,0,0,0,0,0,0,21873,0,21873,4390389,0,4390389,33044955,33044955,0,74943,0,74943,5,3,0,0,0,0,0,2,1,1,1,3,4,4,0,0,0,4,8,192,173,0,0,0,0,0,0,510
12,12/31/2020 0:00:00,11,0,0,0,0,0,0,327767,327767,0,31403,31403,0,3328893,0,3328893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271250,0,271250,4402241,4402241,0,442928,0,442928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,42,0,0,0,0,0,0,45
13,12/31/2020 0:00:00,12,0,0,0,0,0,0,24805875,24805875,0,2088738,2088738,0,31004305,0,31004305,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,16671320,0,16671320,74918974,74918974,0,348736,0,348736,2,3,0,0,0,0,2,3,0,0,2,3,5,0,0,0,0,0,5,1052,686,0,0,0,0,0,0,1244
16,12/31/2020 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,441620,0,441620,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,40661,0,0,0,482281,482281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,0,0,0,0,0,0,0
19,12/31/2020 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,12/31/2020 0:00:00,17,0,0,0,0,0,0,31320134,31320134,0,0,0,0,38532636,0,38532636,0,0,0,0,0,0,0,0,0,0,0,0,445197,0,445197,43795,0,43795,70390229,70390229,0,48467,0,48467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1819,0,0,0,0,0,0,163
26,12/31/2020 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,360579,360579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360579,0,360579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,68
28,12/31/2020 0:00:00,21,0,0,0,0,0,0,29433728,29433728,0,0,0,0,0,0,0,251000,251000,0,107220,0,107220,0,0,0,3103122,3103122,0,10809878,0,10809878,575120,0,575120,65501789,65501789,0,24683063,0,24683063,248,5,4,37,0,0,0,0,71,5,109,5,150,98,0,14,0,117,253,1708,2443,12,0,0,0,0,0,3092
42,12/31/2020 0:00:00,29,0,0,0,0,0,0,10320776,10320776,0,0,0,0,8178228,0,8178228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19380820,19380820,0,881816,0,881816,4,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,2,4,182,451,3,0,0,0,0,0,61
47,12/31/2020 0:00:00,30,0,0,0,0,0,0,2782477,2782477,0,0,0,0,2468865,0,2468865,0,0,0,0,0,0,0,0,0,0,0,0,261261,0,261261,0,0,0,5512603,5512603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,82,0,0,0,0,0,0,110
48,12/31/2020 0:00:00,31,0,0,0,0,0,0,89911,89911,0,0,0,0,2163746,0,2163746,0,0,0,0,0,0,0,0,0,0,0,0,169286,0,169286,223195,0,223195,2646138,2646138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,28,6,0,0,0,0,0,131
