"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
82785,12/31/2020 0:00:00,21636,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513675,0,0,0,0,0,0,0,0,,0,681052,0,0,0,0,0,0,0,0,0,0,0
82789,12/31/2020 0:00:00,21638,0,0,661846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34806131,0,0,0,0,0,0,0,0,,0,39345907,0,0,0,0,0,0,0,0,0,0,0
82791,12/31/2020 0:00:00,21640,0,57715852,7240492,3386051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124832869,116568792,44673548,29432519,15658217,331165945,0,0,0,0,0,0,2438882,4910476,0,0,0,0,0,0,0,0,0,0,0,1204034481,0,0,0,0,0,0,0,0,,0,1402627162,2384053,2190177,0,0,0,0,0,0,0,0,0
82793,12/31/2020 0:00:00,21642,19086087,0,317038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5603174,10143417,3339496,0,0,19086087,156795,0,0,0,0,0,0,0,0,0,0,0,0,65063835,0,0,0,0,0,0,0,0,,0,75212672,0,0,0,0,0,0,0,0,0,0,0
82794,12/31/2020 0:00:00,21643,0,170553008,9040631,9655725,0,0,0,0,0,0,0,0,0,276471,0,0,0,0,276471,43381294,5236520,7073800,0,0,55691614,0,0,0,0,0,0,2153590,185058,0,0,0,0,0,0,0,0,0,0,0,1268720437,0,0,0,0,0,0,0,0,,0,1401011935,0,0,0,0,0,0,0,0,0,0,0
86063,12/31/2020 0:00:00,21919,0,0,703342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34228,0,0,0,0,0,0,0,0,0,0,0,0,69564711,0,0,0,0,0,0,0,0,,0,78665945,0,0,0,0,0,0,0,0,0,0,0
86752,12/31/2020 0:00:00,21921,0,178273549,11504879,2737617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31640448,29916650,57739611,46081579,9768341,175146629,0,0,0,0,0,0,1767862,9111586,0,0,0,0,0,0,0,0,0,0,0,892100655,26,4668348,4668348,0,0,0,26,4668348,,0,1012840628,0,0,0,0,0,0,0,0,0,0,0
86755,12/31/2020 0:00:00,21924,0,0,2826572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11632252,22157374,21903098,13088985,486535,69268244,0,0,0,0,0,0,0,1260211,0,0,0,0,0,0,0,33760,0,0,0,209602055,0,0,0,0,0,0,0,0,,0,235857449,0,0,0,0,0,0,0,0,0,0,0
86756,12/31/2020 0:00:00,21925,0,0,1021016,285340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8163669,3218186,6462409,5182108,0,23026372,0,0,0,0,0,0,72888,571838,0,0,0,0,0,0,0,0,0,0,0,94811909,0,0,0,0,0,0,0,0,,0,107958021,0,0,0,0,0,0,0,0,0,0,0
95008,12/31/2020 0:00:00,23031,0,0,1088619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305068,0,0,0,0,0,0,0,0,0,0,0,0,76711472,71,1928110,1874380,0,0,0,67,1641908,,0,84051804,0,0,0,0,0,0,0,0,0,0,0
