"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_606A","ACCT_606B","ACCT_607","ACCT_608","ACCT_609","ACCT_620","ACCT_621","ACCT_622","ACCT_623","ACCT_624","ACCT_625","ACCT_626","ACCT_627","ACCT_628","ACCT_630A","ACCT_630B1","ACCT_630B2","ACCT_640","ACCT_652C","ACCT_653A","ACCT_653B1","ACCT_653B2","ACCT_653C","ACCT_655C","ACCT_656A","ACCT_656B1","ACCT_656B2","ACCT_657A","ACCT_657B1","ACCT_657B2","ACCT_659","ACCT_660","ACCT_661","ACCT_670A","ACCT_670B","ACCT_672C","ACCT_698","ACCT_709","ACCT_725","ACCT_726","ACCT_731","ACCT_732","ACCT_733","ACCT_734","ACCT_735","ACCT_736","ACCT_737","ACCT_741C","ACCT_742C","ACCT_746C","ACCT_747A","ACCT_747B1","ACCT_747B2","ACCT_747C","ACCT_750C","ACCT_752","ACCT_753","ACCT_754","ACCT_756","ACCT_757","ACCT_758","ACCT_760A","ACCT_760B1","ACCT_760B2","ACCT_761A","ACCT_761B1","ACCT_761B2","ACCT_770","ACCT_772","ACCT_773","ACCT_774","ACCT_776","ACCT_777","ACCT_778","ACCT_780","ACCT_781","ACCT_795","ACCT_799","ACCT_811","ACCT_812","ACCT_813","ACCT_814","ACCT_815","ACCT_816","ACCT_817","ACCT_818","ACCT_820","ACCT_821","ACCT_850","ACCT_860A","ACCT_860B1","ACCT_860B2","ACCT_865","ACCT_880A","ACCT_880B1","ACCT_880B2","ACCT_900","ACCT_902A","ACCT_902B1","ACCT_902B2","ACCT_906B1","ACCT_906B2","ACCT_906C","ACCT_908B1","ACCT_908B2","ACCT_911A","ACCT_911B1","ACCT_911B2","ACCT_913","ACCT_914","ACCT_955","ACCT_956","ACCT_957","ACCT_958","ACCT_961","ACCT_962","ACCT_963","ACCT_964","ACCT_965","ACCT_966","ACCT_970","ACCT_971","ACCT_972","ACCT_974","ACCT_977","ACCT_978","ACCT_982","ACCT_983","ACCT_984","ACCT_985","ACCT_986","ACCT_987","ACCT_988","ACCT_990","ACCT_992","ACCT_993","ACCT_994","ACCT_995","ACCT_603","ACCT_743C","ACCT_744A","ACCT_744B1","ACCT_744B2","ACCT_744C","ACCT_085","ACCT_086","ACCT_087","ACCT_782","ACCT_783","ACCT_784","ACCT_796A","ACCT_796B","ACCT_796C","ACCT_796D","ACCT_796E","ACCT_797A","ACCT_797B","ACCT_797C","ACCT_797D","ACCT_797E","ACCT_799B","ACCT_799C","ACCT_799D","ACCT_840","ACCT_875","ACCT_877","ACCT_945","ACCT_801","ACCT_614","ACCT_615","ACCT_745A","ACCT_745B","ACCT_745C","ACCT_745D","ACCT_745E","ACCT_819","ACCT_867A","ACCT_867B1","ACCT_867B2","ACCT_867C","ACCT_925","ACCT_841","ACCT_465","ACCT_466","ACCT_767","ACCT_768","ACCT_918","ACCT_919","Acct_026A","Acct_026B","Acct_027A","Acct_027B","Acct_028A","Acct_028B","Acct_045A","Acct_045B","Acct_585","Acct_680","Acct_681","Acct_682","Acct_769","Acct_785","Acct_786","Acct_787","Acct_892","Acct_895","Acct_896","Acct_899","ACCT_020I","ACCT_021I","ACCT_022I","ACCT_023I","ACCT_041I","ACCT_550I","ACCT_551I","ACCT_981","ACCT_981A","ACCT_981B","ACCT_065A1","ACCT_065A2","ACCT_065A3","ACCT_065A4","ACCT_065B1","ACCT_065C1","ACCT_065D1","ACCT_065E1","ACCT_067A1","ACCT_067A2","ACCT_067B1","ACCT_067C1","ACCT_068A","ACCT_069A","ACCT_033A","ACCT_033B","ACCT_033C","ACCT_033D","ACCT_033E","ACCT_034A","ACCT_034B","ACCT_034C","ACCT_034D","ACCT_034E","ACCT_035A","ACCT_035B","ACCT_035C","ACCT_035D","ACCT_035E"
1,12/31/2020 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6132669,0,0,83682,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540732,0,0,0,0,0,0,0,0,0,0,0,0,0,382624,0,92,0,0,0,0,0,1742,0,6365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,21,32020,0,500000,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8886364,0,0,0,0,0,0,0,0,0,0,6,3,0,2,5
6,12/31/2020 0:00:00,7,0,0,13755,435,0,0,0,0,0,0,0,0,0,0,259434,0,0,0,0,0,0,0,0,0,0,0,0,113723522,0,0,2321555,0,0,0,0,595027,0,0,0,7741459,124082,0,0,0,0,1592980,0,0,3251872,0,0,0,0,0,0,56834,0,0,16101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977000,1983000,0,39043656,0,0,589821,989196,7088189,3193302,2327150,5503290,0,0,0,0,0,1967394,0,861,0,0,0,0,0,46529,0,127876,0,103,0,369,0,0,12,0,20,0,66,0,0,5634,5505,53,92019,0,0,0,0,249000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6453688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34601,0,0,0,0,15,34601,3,331981,71922,102613,0,248000,11685704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154017,0,0,3483691,0,0,0,3329674,0,0,0,0,3483691,185432441,0,0,0,0,0,0,0,0,0,0,87,65,1,2,68
12,12/31/2020 0:00:00,11,0,0,0,1614,0,0,0,0,0,0,0,0,0,0,3676895,0,0,0,0,0,0,0,0,0,0,0,0,21270289,0,0,952014,0,0,0,0,996000,0,0,0,797986,11663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14980689,0,0,176119,243403,1081647,979155,275383,9759600,0,0,0,0,0,58445,0,273,0,0,0,0,0,23254,0,0,0,32,0,126,0,0,3,0,16,0,32,0,0,3146,4559,8,32020,0,7719000,0,0,11454000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3796443,0,0,0,0,0,0,248000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30919,7,14630,0,0,30,45549,1,264749,43833,0,0,498000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844270,0,0,0,844270,0,0,0,0,844270,52842999,0,0,0,0,0,0,0,0,0,0,19,45,23,0,68
13,12/31/2020 0:00:00,12,0,0,4152,483,0,0,0,0,0,0,0,0,0,0,214751,0,0,0,0,0,0,0,0,0,0,0,0,165092136,0,0,6335174,0,0,0,0,0,0,0,0,103417492,272604,0,213933,0,0,41121828,0,0,1236006,0,0,0,0,0,0,0,0,179928,0,0,0,0,0,0,0,0,0,0,33427,86237,394854,0,90004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,8000000,10000000,0,16945000,6100000,9941000,0,103365336,0,0,7666025,12785900,42539867,39219369,28562845,24992270,0,0,0,0,0,3136959,0,6283,0,0,0,0,0,88096,0,404192,0,0,0,1743,0,0,0,0,471,0,1108,0,0,4991,3974,70,92020,0,100000,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,21,39314,0,0,0,0,21,39314,20,95400,70247,220699,0,0,1236006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4774612,0,0,35300463,0,0,0,30525851,0,0,0,0,35300463,503908956,5,0,1,0,1,0,0,0,0,0,57,17,2,0,19
16,12/31/2020 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5726422,0,0,28173,0,0,0,0,0,0,0,0,721305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523075,0,0,0,0,239307,78366,0,0,0,0,0,0,0,536973,0,35,0,0,0,0,0,1750,0,14529,0,18,0,42,0,0,6,10,0,0,19,0,0,110,68,14,122019,0,800000,0,0,3769934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6597,137,0,0,929934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8546310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2020 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000,0,0,0,0,0,0,0,0,7188027,0,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7564309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10031,0,28,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,4,62020,0,294133,0,0,294133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477857,0,0,0,0,0,0,7564309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38080,0,0,0,38080,0,0,0,0,38080,7149947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2020 0:00:00,17,0,0,0,16644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80888615,0,0,1056312,0,0,0,0,1992000,0,0,0,45730999,391268,0,675991,0,0,0,0,0,11965237,0,0,0,0,0,0,0,0,0,17960,154403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29829374,0,0,3661830,770377,16474029,7721417,2313769,62165267,0,0,0,0,0,636298,0,775,0,0,0,0,0,35646,0,68176,0,860,0,1853,0,0,237,0,220,0,459,0,0,8871,1584,59,92020,0,23606200,0,0,24602200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22131,4,46652,0,0,6,68783,0,232812,35621,224205,0,0,11965237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93468,0,0,13079378,0,0,0,12985910,0,0,0,0,13079378,225213321,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6
26,12/31/2020 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727,0,0,0,0,0,0,0,0,0,0,0,0,11138981,0,0,0,0,0,0,0,4418000,0,0,0,493063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4089883,0,0,0,0,0,1379760,0,0,0,0,0,0,0,498344,0,54,0,0,0,0,0,2151,0,13255,0,0,0,30,0,0,0,0,0,0,7,0,0,169,37,14,92018,0,3081000,0,0,5514000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4282464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,982,0,0,0,9932000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746001,0,0,0,1746001,0,0,0,0,1746001,16028011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2020 0:00:00,21,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170039275,0,0,4400949,0,0,0,0,0,0,0,0,311577237,493366,0,2577484,0,0,131007989,0,0,4753722,0,0,0,0,0,0,422606,99764,226631,93552,89262,26962,0,0,0,0,0,0,0,0,0,114618,6468,12440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44369620,0,0,0,0,0,197323678,0,0,9267853,3498201,40012171,45322535,6257027,220496100,0,0,0,0,0,192287,0,1272,0,0,0,0,0,175341,0,2663865,0,1230,0,4313,0,0,272,0,473,0,2117,0,0,20,19228,5,62020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4818654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1370,1,11263,0,0,2,12633,0,355419,129173,385914,0,0,4753722,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,732121,0,0,30978587,0,0,0,30246466,0,0,0,0,30978587,753957673,4,1,1,0,2,0,0,0,0,0,148,163,18,19,200
42,12/31/2020 0:00:00,29,0,0,0,13505,0,0,0,0,0,0,0,0,0,0,99998,0,0,0,0,0,0,0,0,0,0,0,0,54213634,0,0,668319,0,0,0,0,2718000,0,0,0,12529900,95256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16365401,0,0,1267641,263317,5346781,1639482,1544165,13343362,0,0,0,0,0,461338,0,1085,0,0,0,0,0,20596,0,145765,0,85,0,638,0,0,16,0,36,0,108,0,0,2831,832,13,92020,0,31559500,0,0,35262500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11804,0,0,0,0,5,11804,14,81465,10197,126313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600150,0,0,0,2600150,0,0,0,0,2600150,97368688,2,0,0,0,0,0,0,0,0,0,18,8,0,1,9
