"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B"
1,3/31/2020 0:00:00,2,0,0,0,0,5982304,1314735,0,8352746,0,5982304,1314735,0,10,4,4,18,0,0,0,0,92019,2,0,0,0,0,0,0,0,94564,0,267,0,0,0,0,0,0,0,0,0,0,0,7171,0,0,0,0,0,0,0,0,39830,424,3861,36750,254,2145,2586,0,0,0,0,0,1430,2903398,0,0,2136102,0,0,0,0,0,1003064,0,0,0,0,82,306,0,1346,0,0,1734,0,0,0,0,0,285,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,94831,78306,17411,15366,0,8437,0,2698,0,0,0,0,0,0,0,0,108168,701655,0,2698,0,0,0,3,545,0,0,0,1048302,1255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,13706,1578,4109,10003,622,6725,17350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3/31/2020 0:00:00,6,0,0,0,0,48915150,8811061,3935489,69156077,0,50851150,9803061,4431489,37,5,3,45,0,0,0,0,122019,3,0,0,0,0,0,0,0,672770,0,23843,0,0,0,0,0,0,0,0,0,0,0,89505,0,0,0,0,0,0,0,0,321134,-1143,42780,2289351,12901,123730,50681,0,0,0,0,23499,1178,15208957,0,0,6942722,0,0,0,0,2515119,1444106,0,0,-101535,0,638,2221,237,6532,158,332,10126,0,0,0,0,49,232,0,0,0,204,0,0,0,17,0,0,0,0,0,315,0,696613,-350718,41329,239729,0,-3173500,0,86199,3749,0,0,0,0,0,0,0,563153,9663661,0,86199,0,0,0,3,3149,0,0,0,1991623,287,0,0,0,26708,26811,0,0,0,0,0,0,1,0,0,0,0,108,17,0,4,0,0,27,0,2,1,0,0,0,0,1,0,541,7085779,0,541,0,7085779,0,0,0,0,0,1500000,0,0,739811,1605,248847,35121,0,12798,47919,0,0,0,0,0,430195,0,0,55446,505751,138058,11187,12798,162043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2020 0:00:00,7,0,0,0,0,152677278,3744812,3313732,181602702,0,152677278,4979812,7038732,103,7,1,111,0,0,0,0,122019,2,0,0,0,6,9,0,0,2376783,0,94755,0,0,0,0,0,0,0,0,0,0,0,436794,0,0,0,0,0,0,0,0,1535621,22745,121028,933998,42406,102544,87241,0,0,0,0,11250,14297,49248464,0,0,19914564,0,0,0,0,12785771,17648530,0,0,0,529000,577,12449,482,31913,196,150,50727,0,0,0,0,25,197,0,0,19,82,0,0,0,92,7,0,0,0,0,196,0,2471538,1581884,1384479,207485,0,95233,0,381008,136412,0,0,0,0,0,0,0,5179251,25015684,0,5176294,0,0,0,3,13888,0,0,0,14333866,789,0,0,0,91225,0,0,0,0,0,0,0,1,0,0,0,0,56,125,13,4,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9560000,0,0,15891268,1726,364263,316897,10821,5892,333610,0,0,0,0,0,0,0,17145,0,0,0,0,0,0,11312,2951,0,5892,8843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12,3/31/2020 0:00:00,11,0,0,0,0,42575753,1089704,578216,45098321,0,42575753,1089704,578216,207,204,23,434,0,0,0,0,32019,2,0,0,0,7,0,0,0,593831,0,97123,0,0,0,0,0,0,0,0,0,0,0,319497,0,0,0,0,0,0,0,0,499233,24277,106214,164926,13382,56555,216942,0,0,0,0,2022,7344,3333677,0,0,3485021,0,0,20470,0,4153456,4626006,0,0,0,3322,192,6053,190,15879,31,377,22722,0,0,0,0,60,60,0,0,0,60,0,0,0,22,10,0,0,0,0,0,0,690954,566036,545329,24763,0,20470,0,41743,1352,0,0,0,0,0,0,0,1083298,6845628,1992000,5281443,0,0,0,3,5397,0,-2899491,0,5101437,1131,0,0,0,335322,0,0,0,0,0,0,0,1,0,0,0,0,32,58,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090000,0,0,6673171,1806,51781,78015,99665,15753,193433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2020 0:00:00,12,0,6000000,8500000,10500000,338853501,65736525,48474428,566660170,0,340789501,80745525,64515428,95,32,0,127,0,0,0,0,122019,2,0,0,0,14,8,0,0,4860484,0,287364,0,0,0,0,0,0,0,0,0,0,0,849894,0,0,0,0,0,0,0,0,1980539,40854,170700,1197402,77331,241194,108768,0,0,0,0,35750,15358,164034723,0,0,153793564,0,0,0,0,9241300,15632944,0,0,-1839,0,4532,23743,1597,52031,40,499,82453,0,0,0,0,25,360,0,12035,0,25,0,0,0,106,0,0,0,0,0,355,0,5147848,2989217,2227440,1939578,0,1348761,0,0,0,0,5000000,0,5000000,0,0,0,6589390,72133706,0,4055910,0,0,0,3,19528,0,-1614629,0,55371048,977,0,12698974,0,243419,0,0,0,0,0,0,0,1,0,0,0,0,137,351,1,80,0,316,0,0,50,47,0,5,0,66,0,0,12505,279507886,0,12505,0,279507886,0,0,0,0,0,50000000,0,0,272197,1640,382028,128711,75305,0,204016,0,0,0,0,0,180886,405434,0,0,2769636,382744,282995,0,665739,66512,7715,0,0,7715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,9,1,1,0,2,0,0,0,0,0,0,0,0,0,0
16,3/31/2020 0:00:00,14,0,0,0,0,7758283,216423,0,9276003,0,7758283,216423,0,1,2,0,3,0,0,0,0,42019,5,0,0,0,0,0,0,0,43117,0,28630,0,0,0,0,0,0,0,0,0,0,0,11200,0,0,0,0,0,0,0,0,48840,0,900,11293,515,14392,4850,0,0,0,0,0,486,957768,0,0,833982,0,0,0,0,171816,240212,0,0,0,0,100,365,16,1315,0,0,1796,0,0,0,0,0,160,0,0,5,160,0,0,0,3,1,0,0,0,0,0,0,71747,65993,18298,5754,0,3015,0,40342,7813,0,0,0,0,0,0,0,188653,1330675,0,3955996,0,0,0,3,293,0,0,0,1307444,1409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2020 0:00:00,16,0,0,0,0,6964515,0,0,9823371,0,6964515,0,0,1,0,0,1,0,0,0,0,92019,2,0,0,0,0,0,0,0,20423,0,38345,0,0,0,0,0,0,0,0,0,0,0,2135,0,0,0,0,0,0,0,0,27977,0,3079,9955,81,179,1527,0,0,0,0,0,644,179279,0,0,397337,0,0,0,0,0,410563,0,0,0,0,0,0,0,2060,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,58768,53748,2421,4515,0,12727,2857,0,0,0,0,0,0,0,0,0,30,930165,0,7814889,0,0,0,0,0,0,0,0,2823067,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,1036,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2020 0:00:00,17,0,0,0,0,185216537,27008355,1931945,252413990,0,185216537,27008355,1931945,22,6,6,34,0,0,0,0,92019,2,0,0,0,1,4,0,0,2127541,0,217524,0,0,0,0,0,0,0,0,0,0,0,61915,0,0,0,0,0,0,0,0,716124,19535,83473,360625,49557,254439,103936,0,99571,0,0,15000,15327,42167238,0,0,14155010,0,0,0,0,16013674,18442024,0,0,34822,0,2365,8812,1519,21012,0,1539,35247,0,0,0,0,30,50,0,0,110,50,0,0,0,29,1,0,0,0,0,0,0,2322020,1678129,364790,481391,0,325332,0,0,214346,0,0,0,0,0,0,0,508848,25961438,10000000,25603893,0,0,0,3,7422,0,-343228,0,36719559,1454,0,0,0,414832,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12926379,0,0,374475,1631.99,0,42197,4312,15045,61554,0,0,0,0,0,0,0,281631,413922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0
26,3/31/2020 0:00:00,19,0,0,0,0,12858044,1646212,0,16596833,0,12858044,1646212,0,3,0,0,3,0,0,0,0,122019,3,0,0,0,0,1,0,0,63965,0,62929,0,0,0,0,0,0,0,0,0,0,0,17598,0,0,0,0,0,0,0,0,49407,131,9258,17486,1842,862,24711,0,0,0,0,1090,7830,1025919,0,0,992412,0,0,0,0,269745,157324,0,0,0,0,176,642,0,1308,22,0,2148,0,0,0,0,0,183,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,126894,107627,17598,19043,0,12608,0,111464,0,0,0,0,0,0,0,0,232753,1092681,0,10200464,0,0,0,3,633,0,0,0,1960787,1181,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,16618,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2020 0:00:00,21,0,0,0,0,587920510,80418310,9015995,794589100,0,587920510,80418310,9015995,418,57,53,528,0,0,0,0,62019,2,0,0,0,34,19,0,0,9495537,0,99298,0,0,0,0,0,0,0,0,0,0,0,2947152,0,0,0,0,0,0,0,0,5742255,362300,536414,1474908,52396,405472,860249,0,0,0,0,52351,146301,256430767,0,0,36504653,0,0,0,0,100549,64609973,0,0,-168805,-366441,8924,50020,2666,73486,0,9453,144549,0,0,0,0,110,135,60814,0,0,135,0,0,0,270,23,0,0,0,0,0,0,9594835,6511555,3508331,1781910,0,387240,0,5354,104,0,0,0,0,0,0,0,10508277,15883124,0,9245753,0,0,0,3,52282,0,-7744643,0,68595534,863,0,463968745,0,592756,10618025,0,0,0,0,0,0,1,0,0,0,0,330,1142,22,0,0,205,0,0,108,51,0,0,0,23,0,0,13824,213848994,0,13824,0,213848994,0,1009703,0,40000000,41009703,209346256,0,0,11948053,1670,715962,1071994,534843,208444,1815281,0,0,0,0,0,1167392,0,157509,76220,3629914,1699452,285702,117211,2102365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,10,0,0,0,0,0,4,4,1,3,8,0,0,0,0,0
