"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,3/31/2020 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,640,0,640,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
5,3/31/2020 0:00:00,6,0,0,0,0,0,0,435026,435026,0,0,0,0,2339331,0,2339331,0,0,0,29539,0,29539,0,0,0,65127,65127,0,184023,0,184023,0,0,0,3613829,3613829,0,655449,0,655449,3,4,0,0,0,0,3,0,0,0,3,4,7,0,0,0,2,0,7,149,83,0,0,0,0,0,0,95
6,3/31/2020 0:00:00,7,0,0,0,0,0,0,665296,665296,0,75279,75279,0,21476778,0,21476778,0,0,0,0,0,0,0,0,0,0,0,0,20774,0,20774,3838903,0,3838903,26145773,26145773,0,68743,0,68743,6,1,0,0,0,0,0,0,1,1,1,1,2,5,0,0,0,5,7,196,179,0,0,0,0,0,0,493
12,3/31/2020 0:00:00,11,0,0,0,0,0,0,107500,107500,0,0,0,0,3042568,0,3042568,0,0,0,0,0,0,0,0,0,0,0,0,373638,0,373638,117317,0,117317,3670504,3670504,0,29481,0,29481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,48,0,0,0,0,0,0,51
13,3/31/2020 0:00:00,12,0,0,0,0,0,0,20290586,20290586,0,997332,997332,0,30174769,0,30174769,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,14554852,0,14554852,66352846,66352846,0,335307,0,335307,4,3,0,0,0,0,3,3,0,0,3,3,6,1,0,0,0,1,7,879,589,0,0,0,0,0,0,1129
16,3/31/2020 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,448170,0,448170,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,40661,0,0,0,488831,488831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,0,0,0,0,0,0,0
19,3/31/2020 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,3/31/2020 0:00:00,17,0,0,0,0,0,0,25916250,25916250,0,0,0,0,36907698,0,36907698,0,0,0,0,0,0,0,0,0,0,0,0,437282,0,437282,42846,0,42846,63304076,63304076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1692,0,0,0,0,0,0,170
26,3/31/2020 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,316031,316031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316031,0,316031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,59
28,3/31/2020 0:00:00,21,0,0,0,0,0,0,21972847,21972847,0,0,0,0,0,0,0,3090,3090,0,1576,0,1576,0,0,0,3884102,3884102,0,10641564,0,10641564,558174,0,558174,56126487,56126487,0,22953902,0,22953902,229,4,8,17,0,0,0,0,71,4,108,4,147,96,0,13,0,107,233,1543,2460,10,0,0,0,0,0,3372
