"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,9/30/2021 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,1407,0,1407,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
6,9/30/2021 0:00:00,7,0,0,0,0,0,0,936357,936357,0,0,0,0,31245224,0,31245224,0,0,0,0,0,0,0,0,0,0,0,0,21324,0,21324,4834464,0,4834464,37100266,37100266,0,62897,0,62897,8,2,0,3,0,0,1,2,1,0,2,2,4,3,0,0,0,6,10,196,156,0,0,0,0,0,0,542
12,9/30/2021 0:00:00,11,0,0,0,0,0,0,150479,150479,0,0,0,0,3330063,0,3330063,0,0,0,0,0,0,0,0,0,0,0,0,440656,0,440656,192019,0,192019,4147734,4147734,0,34517,0,34517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,46,0,0,0,0,0,0,28
13,9/30/2021 0:00:00,12,0,0,0,0,0,0,28313496,28313496,0,3199527,3199527,0,32327483,0,32327483,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,18207730,0,18207730,82380369,82380369,0,332133,0,332133,1,3,0,0,0,0,1,3,0,0,1,3,4,0,0,0,0,0,4,1151,736,0,0,0,0,0,0,1303
16,9/30/2021 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,445782,0,445782,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,40661,0,0,0,486443,486443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,0,0,0,0,0,0,0
19,9/30/2021 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
22,9/30/2021 0:00:00,17,0,0,0,0,0,0,41554566,41554566,0,0,0,0,40900899,0,40900899,0,0,0,0,0,0,0,0,0,0,0,0,486406,0,486406,55025,0,55025,83038491,83038491,0,41595,0,41595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1963,0,0,0,0,0,0,159
26,9/30/2021 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,496224,496224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496224,0,496224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,65
28,9/30/2021 0:00:00,21,0,0,0,0,0,0,34539190,34539190,0,0,0,0,0,0,0,190000,190000,0,100000,0,100000,0,0,0,18123311,0,18123311,10912000,0,10912000,556767,0,556767,71697257,71697257,0,25689300,0,25689300,236,6,3,15,0,0,0,0,79,6,118,6,161,100,0,6,0,119,242,2044,2387,11,0,0,0,0,0,2847
42,9/30/2021 0:00:00,29,0,0,0,0,0,0,13322151,13322151,0,0,0,0,11673128,0,11673128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26256722,26256722,0,1261443,0,1261443,5,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,5,199,508,0,0,0,0,0,0,66
