"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
1,9/30/2021 0:00:00,2,0,0,61527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9048295,0,0,0,0,0,0,0,0,,0,10204499,0,0,0,0,0,0,0,0,0,0,0,79381,0,0,0,0,0,0,0,0,0
6,9/30/2021 0:00:00,7,0,0,7359445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522343,7233090,8472059,6914642,0,24142134,0,0,0,0,0,0,1058410,-171852,0,0,0,0,0,0,0,0,0,0,0,211809216,13,424097,0,0,0,0,13,424097,,0,230067278,0,0,0,0,0,0,0,0,0,0,0,2238867,0,0,0,0,0,0,0,0,0
12,9/30/2021 0:00:00,11,2485496,355875,897173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,745832,1491664,0,0,2485496,73154,0,0,0,0,0,0,0,0,0,0,0,0,57067605,0,0,0,0,0,0,0,0,,0,59355570,0,0,0,0,0,0,0,0,0,0,0,833291,0,0,0,0,0,0,0,0,0
13,9/30/2021 0:00:00,12,0,92615405,4127895,2192551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35774,845922,0,0,0,881696,0,0,0,0,0,0,235579,18590,0,0,0,0,0,0,0,0,0,0,0,645437358,0,0,0,0,0,0,0,0,,0,705226840,0,0,0,0,0,0,0,0,0,0,0,5393641,0,0,0,0,0,0,0,0,0
16,9/30/2021 0:00:00,14,0,0,88124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8963281,0,0,0,0,0,0,0,0,,0,10225804,0,0,0,0,0,0,0,0,0,0,0,21140,0,0,0,0,0,0,0,0,0
19,9/30/2021 0:00:00,16,6478000,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3532000,1491000,1455000,0,0,6478000,0,0,0,0,0,0,0,0,0,0,0,0,0,7037495,0,0,0,0,0,0,0,0,,0,9846867,0,0,0,0,0,0,0,0,0,0,0,1789,0,0,0,0,0,0,0,0,0
22,9/30/2021 0:00:00,17,0,16536403,932505,442313,0,0,0,2238302,0,0,0,0,2238302,0,0,0,0,0,0,3272541,1651639,7081290,2845024,0,14850494,0,0,0,0,0,0,0,143856,0,0,0,0,0,0,0,0,0,0,0,259868163,0,0,0,0,0,0,0,0,,0,298478448,0,0,0,0,0,0,0,0,0,0,0,881841,0,319165,36647,0,0,0,0,0,0
26,9/30/2021 0:00:00,19,0,0,294574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17590992,0,0,0,0,0,0,0,0,,0,19550731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2021 0:00:00,21,0,14890454,8562170,0,0,0,0,0,0,10001417,0,0,10001417,0,0,0,0,0,0,0,6074862,24351090,0,0,30425952,0,0,0,0,0,0,1055139,-188729,0,0,0,0,0,0,0,0,0,0,0,910003637,193,4248642,4248642,0,0,0,193,4248642,,0,987846264,0,0,0,0,0,0,0,0,0,0,0,5454159,0,-3349,0,0,0,0,0,0,0
42,9/30/2021 0:00:00,29,0,0,1271853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402736,0,0,0,0,0,0,0,0,0,0,0,0,126481034,0,0,0,0,0,0,0,0,,0,137778851,0,0,0,0,0,0,0,0,0,0,0,623661,0,0,0,0,0,0,0,0,0
47,9/30/2021 0:00:00,30,0,0,347442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47097704,0,0,0,0,0,0,0,0,,0,53038995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,9/30/2021 0:00:00,31,12154000,0,543271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5361000,2994000,3799000,0,12154000,170756,0,0,0,0,0,0,0,0,0,0,0,0,52352771,0,0,0,0,0,0,0,0,,0,64167855,0,0,0,0,0,0,0,0,0,0,0,250589,0,0,0,2,301615,0,0,0,0
