"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
62829,9/30/2019 0:00:00,17082,0.00,0.00,0.00,0.00,0.00,0.00,948347.00,948347.00,0.00,0.00,0.00,0.00,9779982.00,0.00,9779982.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28692.00,28692.00,0.00,0.00,0.00,0.00,413800.00,0.00,413800.00,14316220.00,14316220.00,0.00,3174091.00,0.00,3174091.00,19.00,12.00,11.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,9.00,0.00,3.00,28.00,31.00,158.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,574.00
62840,9/30/2019 0:00:00,17093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
62841,9/30/2019 0:00:00,17094,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00
62847,9/30/2019 0:00:00,17100,0.00,0.00,0.00,0.00,0.00,0.00,2041027.00,2041027.00,0.00,0.00,0.00,0.00,8504492.00,0.00,8504492.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,427679.00,0.00,427679.00,998719.00,0.00,998719.00,12143390.00,12143390.00,0.00,171473.00,0.00,171473.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317.00,285.00,0.00,0.00,0.00,0.00,0.00,0.00,1765.00
62848,9/30/2019 0:00:00,17101,0.00,0.00,0.00,0.00,0.00,0.00,30915140.00,30915140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421298.00,0.00,421298.00,0.00,0.00,0.00,5344746.00,4103071.00,1241675.00,962688.00,0.00,962688.00,7762175.00,0.00,7762175.00,61551299.00,61551299.00,0.00,21911296.00,0.00,21911296.00,248.00,74.00,1.00,0.00,0.00,0.00,161.00,35.00,27.00,36.00,196.00,71.00,277.00,51.00,3.00,0.00,0.00,56.00,322.00,2174.00,2125.00,0.00,0.00,0.00,0.00,0.00,0.00,2233.00
62852,9/30/2019 0:00:00,17105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62854,9/30/2019 0:00:00,17107,0.00,0.00,0.00,0.00,0.00,0.00,15656731.00,15656731.00,0.00,0.00,0.00,0.00,5317892.00,0.00,5317892.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77986.00,0.00,77986.00,249607.00,0.00,249607.00,21302216.00,21302216.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00,3.00,0.00,0.00,0.00,1.00,0.00,3.00,201.00,415.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00
62855,9/30/2019 0:00:00,17108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00
62871,9/30/2019 0:00:00,17124,0.00,0.00,0.00,0.00,0.00,0.00,231508.00,231508.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50926.00,0.00,50926.00,282434.00,282434.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00
62872,9/30/2019 0:00:00,17125,0.00,0.00,0.00,0.00,0.00,0.00,15220847.00,15220847.00,0.00,1750827.00,1750827.00,0.00,12847289.00,0.00,12847289.00,150000.00,150000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,622581.00,622581.00,0.00,3595553.00,0.00,3595553.00,70534.00,0.00,70534.00,33485050.00,33485050.00,0.00,0.00,0.00,0.00,95.00,3.00,6.00,13.00,0.00,0.00,17.00,0.00,16.00,3.00,44.00,3.00,47.00,32.00,0.00,9.00,0.00,51.00,98.00,282.00,577.00,0.00,0.00,0.00,0.00,0.00,0.00,668.00
